"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"Bonifay Court","Bonifay Court","BC 14","BC 14","BC 14","UNIT","BC_14","","0,041666666666666664","2026/03/03","413148"
"Bonifay Court","Bonifay Court","BC 15","BC 15","BC 15","UNIT","BC_15","","0,041666666666666664","2026/03/03","337487"
"Bonifay Court","Bonifay Court","BC 16","BC 16","BC 16","UNIT","BC_16","","0,041666666666666664","2026/03/03","57027"
"Bonifay Court","Bonifay Court","BC 17","BC 17","BC 17","UNIT","BC_17","","0,041666666666666664","2026/03/03","354262"
"Bonifay Court","Bonifay Court","BC 18","BC 18","BC 18","UNIT","BC_18","","0,041666666666666664","2026/03/03","320089"
"Bonifay Court","Bonifay Court","BC 19","BC 19","BC 19","UNIT","BC_19","","0,041666666666666664","2026/03/03","388314"
"Bonifay Court","Bonifay Court","BC 20","BC 20","BC 20","UNIT","BC_20","","0,041666666666666664","2026/03/03","477319"
"Bonifay Court","Bonifay Court","BC 21","BC 21","BC 21","UNIT","BC_21","","0,041666666666666664","2026/03/03","186790"
"Bonifay Court","Bonifay Court","BC 22","BC 22","BC 22","UNIT","BC_22","","0,041666666666666664","2026/03/03","403029"
"Bonifay Court","Bonifay Court","BC 23","BC 23","BC 23","UNIT","BC_23","","0,041666666666666664","2026/03/03","445095"
"Bonifay Court","Bonifay Court","BC 24","BC 24","BC 24","UNIT","BC_24","","0,041666666666666664","2026/03/03","310938"
"Granistar Heights","Granistar Heights","GH 01","GH 01","GH 01","UNIT","GH_01","","3,1378","2021/12/30","76693"
"Granistar Heights","Granistar Heights","GH 02","GH 02","GH 02","UNIT","GH_02","","2,8292","2021/12/30","84630"
"Granistar Heights","Granistar Heights","GH 03","GH 03","GH 03","UNIT","GH_03","","12,4484","2021/12/30","486855"
"Granistar Heights","Granistar Heights","GH 04","GH 04","GH 04","UNIT","GH_04","","6,9444","2021/12/30","24869"
"Granistar Heights","Granistar Heights","GH 05","GH 05","GH 05","UNIT","GH_05","","3,6008","2021/12/30","123776"
"Granistar Heights","Granistar Heights","GH 06","GH 06","GH 06","UNIT","GH_06","","5,4527","2021/12/30","66936"
"Granistar Heights","Granistar Heights","GH 06 Second Meter","GH 06 Second Meter","GH 06 Second Meter","UNIT","GH_06_Second_Meter","","1,0802","2021/12/30","92753"
"Granistar Heights","Granistar Heights","GH 08","GH 08","GH 08","UNIT","GH_08","","5,1955","2021/12/30","38362"
"Granistar Heights","Granistar Heights","GH 12","GH 12","GH 12","UNIT","GH_12","","3,035","2021/12/30","104330"
"Granistar Heights","Granistar Heights","GH 13","GH 13","GH 13","UNIT","GH_13","","7,0988","2021/12/30","202687"
"Granistar Heights","Granistar Heights","GH 14A","GH 14A","GH 14A","UNIT","GH_14A","","5,9156","2021/12/30","55861"
"Granistar Heights","Granistar Heights","GH 15","GH 15","GH 15","UNIT","GH_15","","5,0412","2021/12/30","140800"
"Granistar Heights","Granistar Heights","GH 16","GH 16","GH 16","UNIT","GH_16","","2,3663","2021/12/30","102913"
"Granistar Heights","Granistar Heights","GH 17","GH 17","GH 17","UNIT","GH_17","","3,035","2021/12/30","33368"
"Granistar Heights","Granistar Heights","GH 18","GH 18","GH 18","UNIT","GH_18","","7,2531","2021/12/30","173484"
"Granistar Heights","Granistar Heights","GH 19","GH 19","GH 19","UNIT","GH_19","","3,035","2021/12/30","24919"
"Granistar Heights","Granistar Heights","GH 20","GH 20","GH 20","UNIT","GH_20","","3,1893","2021/12/30","108736"
"Granistar Heights","Granistar Heights","GH 21","GH 21","GH 21","UNIT","GH_21","","4,0638","2021/12/30","90212"
"Granistar Heights","Granistar Heights","** CellC / GH 07","** CellC / GH 07","** CellC / GH 07","UNIT","CellC_GH_07","",,"2021/12/30","419289"
"Granistar Heights","Granistar Heights","** A","** A","** A","UNIT","A","",,"2021/12/30","48853"
"Granistar Heights","Granistar Heights","** B","** B","** B","UNIT","B","",,"2021/12/30","31724"
"Granistar Heights","Granistar Heights","** C","** C","** C","UNIT","C","",,"2021/12/30","625"
"Granistar Heights","Granistar Heights","Bulk 1","Bulk 1",,"BULK","Bulk_1","",,"2021/12/30","289666"
"Vilino Glen","Vilino Glen","VG 01","VG 01","VG 01","UNIT","VG_01","1","2,382403","2026/01/31","16935"
"Vilino Glen","Vilino Glen","VG 02","VG 02","VG 02","UNIT","VG_02","1","2,382403","2026/01/31","23041"
"Vilino Glen","Vilino Glen","VG 03","VG 03","VG 03","UNIT","VG_03","1","2,382403","2026/01/31","16172"
"Vilino Glen","Vilino Glen","VG 04","VG 04","VG 04","UNIT","VG_04","1","2,382403","2026/01/31","15198"
"Vilino Glen","Vilino Glen","VG 05","VG 05","VG 05","UNIT","VG_05","1","2,382403","2026/01/31","13567"
"Vilino Glen","Vilino Glen","VG 06","VG 06","VG 06","UNIT","VG_06","1","2,382403","2026/01/31","10925"
